"Section","ID","Description","mask","SUVmin","SUVmed","SUVmax"
"default","DRO_0_0","default DRO with Units = BQML and DC = START","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"rescaleslope","DRO_1_0","multiple values Rescale Slope ","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"units","DRO_2_0","Units = GML (corresponding to SUVbw)","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"units","DRO_2_1","Units = GML (corresponding to SUVlbmjames128)","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"units","DRO_2_2","DRO PatientSex = “O” (other) with Units = GML (corresponding to SUV IBW)","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"units","DRO_2_3","Units = CM2ML (corresponding to SUVbsa)","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"units","DRO_2_4","Units = CNTS using Philips SUV scale factor","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"units","DRO_2_5","Units = CNTS using Philips activity scale factor","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"dose","DRO_3_0","dose in MBq","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"dose","DRO_3_1","DC = ADMIN","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"dose","DRO_3_2","DC = START but SeriesTime after AcquisitionTime","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"dose","DRO_3_3","GE private DC datetime","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"dose","DRO_3_4","DC = NONE + multiple values ACQ TIME ","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"rptime","DRO_4_0","only radiopharmaceutical datetime, no RP Date and RP time","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"rptime","DRO_4_1","only radiopharmaceutical time, no RP datetime","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"rptime","DRO_4_2","over midnight","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
"halflife","DRO_5_0","Ga68","suv_computation/DRO/mask/DRO_mask.nii.gz","0.20","1.00","4.00"
