"Section","ID","Description","SUVmin_expected","SUVmed_expected","SUVmax_expected","SUVmin_measured","SUVmed_measured","SUVmax_measured"
"default","DRO_0_0","default DRO with Units = BQML and DC = START","0.20","1.00","4.00",,,
"rescaleslope","DRO_1_0","multiple values Rescale Slope ","0.20","1.00","4.00",,,
"units","DRO_2_0","Units = GML (corresponding to SUVbw)","0.20","1.00","4.00",,,
"units","DRO_2_1_0","Units = GML with PatientSex = “M” (male) corresponding to SUVlbmjames128","0.20","1.00","4.00",,,
"units","DRO_2_1_1","Units = GML with PatientSex = “F” (female) corresponding to SUVlbmjames128","0.20","1.00","4.00",,,
"units","DRO_2_1_2","Units = GML with PatientSex = “O” (other) corresponding to SUVlbmjames128","0.20","1.00","4.00",,,
"units","DRO_2_2_0","Units = GML with PatientSex = “M” (male) corresponding to SUV IBW","0.20","1.00","4.00",,,
"units","DRO_2_2_1","Units = GML with PatientSex = “F” (female) corresponding to SUV IBW","0.20","1.00","4.00",,,
"units","DRO_2_2_2","Units = GML with PatientSex = “O” (other) corresponding to SUV IBW","0.20","1.00","4.00",,,
"units","DRO_2_3","Units = CM2ML corresponding to SUVbsa","0.20","1.00","4.00",,,
"units","DRO_2_4","Units = CNTS using Philips SUV scale factor","0.20","1.00","4.00",,,
"units","DRO_2_5","Units = CNTS using Philips activity scale factor","0.20","1.00","4.00",,,
,"DRO_2_6_0","Units = GML with PatientSex = “M” (male) corresponding to SUVlbmjanma","0.20","1.00","4.00",,,
,"DRO_2_6_1","Units = GML with PatientSex = “F” (female) corresponding to SUVlbmjanma","0.20","1.00","4.00",,,
,"DRO_2_6_2","Units = GML with PatientSex = “O” (other) corresponding to SUVlbmjanma","0.20","1.00","4.00",,,
"dose","DRO_3_0","dose in MBq","0.20","1.00","4.00",,,
"dose","DRO_3_1","DC = ADMIN","0.20","1.00","4.00",,,
"dose","DRO_3_2_0","DC = START but SeriesTime after AcquisitionTime SIEMENS","0.20","1.00","4.00",,,
,"DRO_3_2_1","DC = START but SeriesTime after AcquisitionTime GE","0.20","1.00","4.00",,,
,"DRO_3_2_2","DC = START but SeriesTime after AcquisitionTime PHILIPS","0.20","1.00","4.00",,,
"dose","DRO_3_3_0","DC = START but SeriesTime after AcquisitionTime private tag present SIEMENS","0.20","1.00","4.00",,,
,"DRO_3_3_1","DC = START but SeriesTime after AcquisitionTime private tag present GE","0.20","1.00","4.00",,,
"dose","DRO_3_4_0","DC = NONE + multiple values ACQ TIME SIEMENS","0.20","1.00","4.00",,,
,"DRO_3_4_1","DC = NONE + multiple values ACQ TIME GE","0.20","1.00","4.00",,,
,"DRO_3_4_2","DC = NONE + multiple values ACQ TIME PHILIPS and Units = CNTS","0.20","1.00","4.00",,,
,"DRO_3_5_0","DC = START but SeriesTime = AcquisitionTime SIEMENS","0.20","1.00","4.00",,,
,"DRO_3_5_1","DC = START but SeriesTime = AcquisitionTime GE","0.20","1.00","4.00",,,
,"DRO_3_5_2","DC = START but SeriesTime = AcquisitionTime PHILIPS","0.20","1.00","4.00",,,
"rptime","DRO_4_0","only radiopharmaceutical datetime, no RP Date and RP time","0.20","1.00","4.00",,,
"rptime","DRO_4_1","only radiopharmaceutical time, no RP datetime","0.20","1.00","4.00",,,
"rptime","DRO_4_2","Sparing midnight","0.20","1.00","4.00",,,
"halflife","DRO_5_0","Radionuclide Ga68","0.20","1.00","4.00",,,
